File Name,Original Size (bytes),Compressed Size (bytes)
wav_example2_huffman1decompressed.wav,441044,437398
bmp_example_huffman1decompressed.bmp,518456,509062
txt_example_huffman1decompressed.txt,15731,9132
bmp_example2_huffman1decompressed.bmp,53747850,53046362
wav_example3_huffman1decompressed.wav,1048420,888169
wav_example_huffman1decompressed.wav,47030,23391
wav_example4_huffman1decompressed.wav,10543996,9748796
