algoritmo,tamanho,tipo,tempo
bubble,1000,0,.00000640000000000000
bubble,5000,0,.00001200000000000000
bubble,10000,0,.00001980000000000000
bubble,15000,0,.00002800000000000000
bubble,25000,0,.00004160000000000000
bubble,35000,0,.00007860000000000000
bubble,50000,0,.00007640000000000000
bubble,60000,0,.00009160000000000000
bubble,75000,0,.00011840000000000000
bubble,80000,0,.00011880000000000000
bubble,100000,0,.00014960000000000000
bubble,1000,1,.00093460000000000000
bubble,5000,1,.02421660000000000000
bubble,10000,1,.09651040000000000000
bubble,15000,1,.21654120000000000000
bubble,25000,1,.59046780000000000000
bubble,35000,1,1.15247080000000000000
bubble,50000,1,2.34812880000000000000
bubble,60000,1,3.39199620000000000000
bubble,75000,1,5.31954000000000000000
bubble,80000,1,6.03587300000000000000
bubble,100000,1,9.42974240000000000000
bubble,1000,2,.00099680000000000000
bubble,5000,2,.03185740000000000000
bubble,10000,2,.16087020000000000000
bubble,15000,2,.39838920000000000000
bubble,25000,2,1.17661680000000000000
bubble,35000,2,2.38582000000000000000
bubble,50000,2,4.98887960000000000000
bubble,60000,2,7.22256000000000000000
bubble,75000,2,11.40938700000000000000
bubble,80000,2,13.00894260000000000000
bubble,100000,2,20.28741780000000000000
insertion,1000,0,.00000580000000000000
insertion,5000,0,.00001060000000000000
insertion,10000,0,.00001660000000000000
insertion,15000,0,.00002280000000000000
insertion,25000,0,.00003480000000000000
insertion,35000,0,.00005260000000000000
insertion,50000,0,.00006560000000000000
insertion,60000,0,.00007780000000000000
insertion,75000,0,.00009580000000000000
insertion,80000,0,.00010240000000000000
insertion,100000,0,.00012640000000000000
insertion,1000,1,.00044100000000000000
insertion,5000,1,.01032600000000000000
insertion,10000,1,.04071300000000000000
insertion,15000,1,.09143960000000000000
insertion,25000,1,.25493180000000000000
insertion,35000,1,.50138340000000000000
insertion,50000,1,1.01518200000000000000
insertion,60000,1,1.46852520000000000000
insertion,75000,1,2.40783420000000000000
insertion,80000,1,2.62837320000000000000
insertion,100000,1,4.07979380000000000000
insertion,1000,2,.00022080000000000000
insertion,5000,2,.00513460000000000000
insertion,10000,2,.02070100000000000000
insertion,15000,2,.04688720000000000000
insertion,25000,2,.12802480000000000000
insertion,35000,2,.25226380000000000000
insertion,50000,2,.51206260000000000000
insertion,60000,2,.73612460000000000000
insertion,75000,2,1.15603680000000000000
insertion,80000,2,1.34265620000000000000
insertion,100000,2,2.06571840000000000000
merge,1000,0,.00003680000000000000
merge,5000,0,.00015580000000000000
merge,10000,0,.00031680000000000000
merge,15000,0,.00046020000000000000
merge,25000,0,.00083780000000000000
merge,35000,0,.00128820000000000000
merge,50000,0,.00166800000000000000
